group,variable ,value
private_sale_handgun,return_to_seller_handgun,0.599063242
private_sale_handgun,return_to_seller_long_gun,0.626265022
private_sale_handgun,return_to_seller_other,0.606183557
private_sale_handgun,totals,0.071957672
private_sale_handgun,crime_total_murders,0.040289618
private_sale_handgun,crime_total_firearms,0.027920294
private_sale_handgun,crime_handguns,0.018449622
private_sale_handgun,crime_rifles,-0.010821659
private_sale_handgun,crime_shotguns,-0.013961814
private_sale_handgun,crime_firearms_type_unknown,0.055138151
private_sale_handgun,crime_knives__cutting _instruments,0.076178707
private_sale_handgun,crime_other_weapons,0.057346262
private_sale_handgun,crime_hands_fists_feet_etc,0.054859475
private_sale_long_gun,year,0.220912729
